Feature,Correlation,Abs_Correlation
mouth_right_y,0.3712501689279495,0.3712501689279495
mouth_left_y,0.37094724770567283,0.37094724770567283
right_hip_y,0.36359510527160954,0.36359510527160954
nose_y,0.36257280288082644,0.36257280288082644
left_hip_y,0.3625238506791619,0.3625238506791619
right_eye_inner_y,0.33101774581486343,0.33101774581486343
left_eye_inner_y,0.3285578953606654,0.3285578953606654
right_eye_y,0.32772842376896266,0.32772842376896266
left_eye_y,0.3233695271349376,0.3233695271349376
right_eye_outer_y,0.32321311127472374,0.32321311127472374
left_eye_outer_y,0.31725531041453237,0.31725531041453237
right_elbow_y,0.3147368901180804,0.3147368901180804
left_elbow_y,0.30979797644070356,0.30979797644070356
right_knee_y,0.3078787606222665,0.3078787606222665
right_shoulder_y,0.3045197050633697,0.3045197050633697
left_knee_y,0.29617214667378344,0.29617214667378344
right_ear_y,0.2876673161982485,0.2876673161982485
left_shoulder_y,0.28639084241134993,0.28639084241134993
left_ear_y,0.28247857787447256,0.28247857787447256
right_wrist_y,0.27776038352420807,0.27776038352420807
left_wrist_y,0.2661142786648168,0.2661142786648168
right_thumb_y,0.2626165247124687,0.2626165247124687
left_thumb_y,0.25215589573121994,0.25215589573121994
right_index_y,0.2514162122060777,0.2514162122060777
right_pinky_y,0.25116745240310745,0.25116745240310745
right_ankle_y,0.24604712804523368,0.24604712804523368
left_pinky_y,0.24311016846767178,0.24311016846767178
left_index_y,0.23950471188580919,0.23950471188580919
right_heel_y,0.23826055442191918,0.23826055442191918
right_foot_index_y,0.23072334737797268,0.23072334737797268
left_ankle_y,0.22014518396971702,0.22014518396971702
left_heel_y,0.21335391571041049,0.21335391571041049
left_foot_index_y,0.1888254612091292,0.1888254612091292
left_elbow_x,-0.13090258277250416,0.13090258277250416
right_elbow_x,0.1287098990551854,0.1287098990551854
left_wrist_x,-0.12320185330197904,0.12320185330197904
right_foot_index_x,-0.1158994501547308,0.1158994501547308
left_heel_x,0.11387665422484763,0.11387665422484763
right_hip_x,0.10657036273047546,0.10657036273047546
left_pinky_x,-0.10468859261429059,0.10468859261429059
right_shoulder_x,0.10193281507260034,0.10193281507260034
left_thumb_x,-0.09813293757006795,0.09813293757006795
left_index_x,-0.09525656780397604,0.09525656780397604
left_shoulder_x,-0.09233926072646645,0.09233926072646645
right_heel_x,-0.09114003850156921,0.09114003850156921
right_ankle_x,-0.09025325910493617,0.09025325910493617
left_ankle_x,0.08900362757583427,0.08900362757583427
left_foot_index_x,0.07843164519316044,0.07843164519316044
left_eye_outer_x,-0.07660972770778714,0.07660972770778714
left_eye_x,-0.07207525330841347,0.07207525330841347
left_ear_x,-0.06930462852457071,0.06930462852457071
left_eye_inner_x,-0.06612245477979067,0.06612245477979067
right_wrist_x,0.06353806770794214,0.06353806770794214
mouth_left_x,-0.06056358280017541,0.06056358280017541
nose_x,-0.0560006571585605,0.0560006571585605
right_eye_inner_x,-0.04116038967496635,0.04116038967496635
right_pinky_x,0.03983756969697274,0.03983756969697274
right_thumb_x,0.034465116488417886,0.034465116488417886
right_eye_x,-0.030892973283241684,0.030892973283241684
mouth_right_x,-0.02984975686587325,0.02984975686587325
left_knee_x,-0.026439384283772755,0.026439384283772755
right_index_x,0.024962407924973378,0.024962407924973378
right_eye_outer_x,-0.02178415600265666,0.02178415600265666
left_hip_x,0.011999972856465596,0.011999972856465596
right_ear_x,0.008106690628046555,0.008106690628046555
right_knee_x,-0.00787232360298389,0.00787232360298389
